book_comanagers_parent_country,book_comanagers_parent,number_of_underwritings
United Kingdom,Standard Chartered,3
Thailand,Krung Thai Bank,22
Thailand,Kasikornbank,13
Thailand,Siam Commercial Bank,10
Thailand,Asia Plus Group Holdings,8
Thailand,Bangkok Bank,7
Thailand,Country Group Holdings,7
Thailand,Aira Capital Ltd,6
Thailand,FNS Holdings,4
Thailand,Kiatnakin Phatra Financial Group,4
Thailand,Merchant Partners Securities,3
Thailand,Thanachart Capital PCL,3
Thailand,Globlex Holding Management,2
Thailand,ASL Securities Co Ltd,1
Thailand,Asia Wealth Securities Co Ltd,1
Thailand,Beyond Securities PCL,1
Thailand,Government Savings Bank of Thailand,1
Thailand,IV Global Securities PCL,1
Taiwan,Yuanta Financial Holdings,8
Taiwan,China Development Financial Holding Corporation,5
South Korea,DAOL Investment & Securities,3
South Korea,KB Financial Group,1
Singapore,United Overseas Bank (UOB) Group,5
Singapore,Phillip Securities,2
Malaysia,CIMB Group,18
Malaysia,Maybank Investment Banking Group,8
Malaysia,RHB Banking Group,2
Japan,Mitsubishi UFJ Financial Group Inc,11
Japan,Nomura Holdings,1
Indonesia,Bank Negara Indonesia,5
Indonesia,Dwimuria Investama Andalan PT,5
Indonesia,PT Sucorinvest Inti Investama,3
Indonesia,Trimegah Sekuritas Indonesia,2
Indonesia,Trimegah Securindo Lestari PT,1
China,Capital Securities Co Ltd,5
