sdc_deal_number_1,project_name_x,project_country_x,developer_parent,developer_parent_country
154088589624,Penyu Basin Carbon Capture Storage Project,Malaysia,State-owned [Abu Dhabi National Oil Co],United Arab Emirates
154088598587,DOE BARMM & Central Luzon Petroleum & Hydrogen Project,Philippines,State-owned [DOE],Philippines
154088393559,PLN/JERA Indonesia LNG Value Chain Project,Indonesia,State-owned [PLN],Indonesia
154088404809,ExxonMobil / Shell Singapore Carbon Capture & Storage (CCS) Project,Singapore,State-owned [EDB],Singapore
154088253503,Sembcorp & PLN Indonesia-Singapore Green Hydrogen Production & Export Project,Indonesia,State-owned [PLN],Indonesia
154088253503,Sembcorp & PLN Indonesia-Singapore Green Hydrogen Production & Export Project,Indonesia,State-owned [Temasek],Singapore
154088101847,Garuda Hidrogen Hijau Project,Indonesia,State-owned [PLN],Indonesia
154088101847,Garuda Hidrogen Hijau Project,Indonesia,State-owned [Pupuk],Indonesia
154087879913,Thailand Hydrogen & Ammonia Supply Chain Project,Thailand,State-owned [EGCO],Thailand
154087849570,Pengerang Integrated Complex Biorefinery Project,Malaysia,State-owned [Petronas],Malaysia
154087823122,Thailand Green Hydrogen And Ammonia Plant Project,Thailand,State-owned [PTT],Thailand
154087823122,Thailand Green Hydrogen And Ammonia Plant Project,Thailand,State-owned [EGAT],Thailand
154087831308,Indonesia Hydroelectricity & Battery Energy Storage & Hydrogen Ammonia Project,Indonesia,State-owned [PLN],Indonesia
154087815482,Sumatra Green Hydrogen & Green Ammonia Project,Indonesia,State-owned [Pertamina],Indonesia
154087791720,Sumatra Clean Hydrogen Production Project,Indonesia,State-owned [Pertamina],Indonesia
154087791720,Sumatra Clean Hydrogen Production Project,Indonesia,State-owned [Temasek],Singapore
154087713500,Singapore Carbon Capture Utilization Sequestration (CCUS) Solutions & Integrated Infrastructure Project,Singapore,State-owned [PetroChina],China
154087594534,Indonesia Green Ammonia Production Plant Project,Indonesia,State-owned [Pupuk],Indonesia
154087594534,Indonesia Green Ammonia Production Plant Project,Indonesia,State-owned [Pupuk],Indonesia
154087581290,Balikpapan Refinery Processing Unit Carbon Capture & Utilization Technology Project,Indonesia,State-owned [Pertamina],Indonesia
154087493880,"Mitsubishi / Pertamina / Pupuk Indonesia Hydrogen, Ammonia Value Chain & CCUS Project",Indonesia,State-owned [Pertamina],Indonesia
154087493880,"Mitsubishi / Pertamina / Pupuk Indonesia Hydrogen, Ammonia Value Chain & CCUS Project",Indonesia,State-owned [Pupuk],Indonesia
154088282663,Bintulu Offshore Carbon Capture & Storage Project,Malaysia,State-owned [Petronas],Malaysia
154088564877,Jurong Island Ammonia Power & Bunkering Project,Singapore,State-owned [MPA],Singapore
154088564877,Jurong Island Ammonia Power & Bunkering Project,Singapore,State-owned [EMA],Singapore
154088274363,Asri Basin Carbon Capture Storage (CCS) Hub Project,Indonesia,State-owned [Pertamina],Indonesia
154088274363,Asri Basin Carbon Capture Storage (CCS) Hub Project,Indonesia,State-owned [Korea National Oil Corp],South Korea
154087795889,Jurong Island Decarbonized Hydrogen Import Project,Singapore,State-owned [Temasek],Singapore
154087700640,Sarawak H2biscus Green Hydrogen & Ammonia Project,Malaysia,State-owned [SEDC],Malaysia
154087700640,Sarawak H2biscus Green Hydrogen & Ammonia Project,Malaysia,State-owned [Korea National Oil Corp],South Korea
154087371044,1.3 GW Samalaju Industrial Park & Port Green Hydrogen & Ammonia Generation Facility Project,Malaysia,State-owned [SEDC],Malaysia
154088367576,Sumitomo/ENEOS/SEDC Energy Sarawak Green Hydrogen & MCH Production Plant Project,Malaysia,State-owned [SEDC],Malaysia
154088247772,Pusri IIIB Project,Indonesia,State-owned [Pupuk],Indonesia
